session_id,T,nose_low_pct,spine4_low_pct,nose_long_pct,spine4_long_pct,pass_qc
21_11_8_one_mouse,71524,13.803758179072759,3.1080476483418153,6.28740003355517,2.3991946759129803,False
21_12_10_def6a_1_1,53512,19.537673792794138,14.957392734339962,9.992151293167888,11.079757811332037,False
21_12_10_def6a_3,35818,13.3815400078173,11.058685577084146,6.345971299346697,7.90105533530627,False
21_12_10_def6b_3,53527,6.036206026864947,0.3082556466829824,1.3133558764735553,0.0784650737011228,True
21_12_2_def6a_1,107507,12.18246253732315,6.346563479587377,4.486219501985917,4.635047020194034,True
21_12_2_def6b_2,107520,12.346540178571429,1.2797619047619047,3.903459821428571,0.5533854166666667,True
22_04_26_cage4_0,53623,14.907782108423623,0.14173022770080004,4.468231915409433,0.0,True
22_04_26_cage4_0_2,53625,35.08811188811189,3.740792540792541,18.12027972027972,2.0587412587412586,False
22_04_26_cage4_1_1,53632,15.966214200477328,2.0677953460620526,4.308994630071599,0.9024463007159904,True
22_27_04_cage4_mouse2_0,53623,19.31633813848535,9.729034183093075,9.352330156835686,6.711672230199728,False
